,Time(s),RNA,Protein
374,24259.4594595,242.594594595,147130.343335
375,24324.3243243,243.243243243,147918.188478
376,24389.1891892,243.891891892,148708.137346
377,24454.0540541,244.540540541,149500.189939
378,24518.9189189,245.189189189,150294.346257
379,24583.7837838,245.837837838,151090.606301
380,24648.6486486,246.486486486,151888.97007
381,24713.5135135,247.135135135,152689.437565
382,24778.3783784,247.783783784,153492.008785
383,24843.2432432,248.432432432,154296.68373
384,24908.1081081,249.081081081,155103.462401
385,24972.972973,249.72972973,155912.344797
386,25037.8378378,250.378378378,156723.330918
387,25102.7027027,251.027027027,157536.420765
388,25167.5675676,251.675675676,158351.614337
389,25232.4324324,252.324324324,159168.911634
390,25297.2972973,252.972972973,159988.312657
391,25362.1621622,253.621621622,160809.817405
392,25427.027027,254.27027027,161633.425879
393,25491.8918919,254.918918919,162459.138077
394,25556.7567568,255.567567568,163286.954001
395,25621.6216216,256.216216216,164116.873651
396,25686.4864865,256.864864865,164948.897026
397,25751.3513514,257.513513514,165783.024126
398,25816.2162162,258.162162162,166619.254951
399,25881.0810811,258.810810811,167457.589502
400,25945.9459459,259.459459459,168298.027778
401,26010.8108108,260.108108108,169140.56978
402,26075.6756757,260.756756757,169985.215507
403,26140.5405405,261.405405405,170831.964959
404,26205.4054054,262.054054054,171680.818137
405,26270.2702703,262.702702703,172531.775039
406,26335.1351351,263.351351351,173384.835668
407,26400.0,264.0,174240.000021
408,26464.8648649,264.648648649,175097.2681
409,26529.7297297,265.297297297,175956.639905
410,26594.5945946,265.945945946,176818.115434
411,26659.4594595,266.594594595,177681.694689
412,26724.3243243,267.243243243,178547.37767
413,26789.1891892,267.891891892,179415.164375
414,26854.0540541,268.540540541,180285.054806
415,26918.9189189,269.189189189,181157.048963
416,26983.7837838,269.837837838,182031.146845
417,27048.6486486,270.486486486,182907.348452
418,27113.5135135,271.135135135,183785.653784
419,27178.3783784,271.783783784,184666.062842
420,27243.2432432,272.432432432,185548.575625
421,27308.1081081,273.081081081,186433.192133
422,27372.972973,273.72972973,187319.912367
423,27437.8378378,274.378378378,188208.736326
424,27502.7027027,275.027027027,189099.664011
425,27567.5675676,275.675675676,189992.695421
426,27632.4324324,276.324324324,190887.830556
427,27697.2972973,276.972972973,191785.069417
428,27762.1621622,277.621621622,192684.412002
429,27827.027027,278.27027027,193585.858314
430,27891.8918919,278.918918919,194489.40835
431,27956.7567568,279.567567568,195395.062112
432,28021.6216216,280.216216216,196302.8196
433,28086.4864865,280.864864865,197212.680812
434,28151.3513514,281.513513514,198124.64575
435,28216.2162162,282.162162162,199038.714413
436,28281.0810811,282.810810811,199954.886802
437,28345.9459459,283.459459459,200873.162916
438,28410.8108108,284.108108108,201793.542756
439,28475.6756757,284.756756757,202716.02632
440,28540.5405405,285.405405405,203640.61361
441,28605.4054054,286.054054054,204567.304626
442,28670.2702703,286.702702703,205496.099367
443,28735.1351351,287.351351351,206426.997833
444,28800.0,288.0,207360.000024
445,28864.8648649,288.648648649,208295.105941
446,28929.7297297,289.297297297,209232.315583
447,28994.5945946,289.945945946,210171.628951
448,29059.4594595,290.594594595,211113.046043
449,29124.3243243,291.243243243,212056.566862
450,29189.1891892,291.891891892,213002.191405
451,29254.0540541,292.540540541,213949.919674
452,29318.9189189,293.189189189,214899.751668
453,29383.7837838,293.837837838,215851.687388
454,29448.6486486,294.486486486,216805.726833
455,29513.5135135,295.135135135,217761.870003
456,29578.3783784,295.783783784,218720.116899
457,29643.2432432,296.432432432,219680.46752
458,29708.1081081,297.081081081,220642.921866
459,29772.972973,297.72972973,221607.479937
460,29837.8378378,298.378378378,222574.141734
461,29902.7027027,299.027027027,223542.907257
462,29967.5675676,299.675675676,224513.776505
463,30032.4324324,300.324324324,225486.749478
464,30097.2972973,300.972972973,226461.826176
465,30162.1621622,301.621621622,227439.0066
466,30227.027027,302.27027027,228418.290749
467,30291.8918919,302.918918919,229399.678623
468,30356.7567568,303.567567568,230383.170223
469,30421.6216216,304.216216216,231368.765548
470,30486.4864865,304.864864865,232356.464599
471,30551.3513514,305.513513514,233346.267374
472,30616.2162162,306.162162162,234338.173876
473,30681.0810811,306.810810811,235332.184102
474,30745.9459459,307.459459459,236328.298054
475,30810.8108108,308.108108108,237326.515731
476,30875.6756757,308.756756757,238326.837134
477,30940.5405405,309.405405405,239329.262262
478,31005.4054054,310.054054054,240333.791115
479,31070.2702703,310.702702703,241340.423693
480,31135.1351351,311.351351351,242349.159997
481,31200.0,312.0,243360.000027
482,31264.8648649,312.648648649,244372.943781
483,31329.7297297,313.297297297,245387.991261
484,31394.5945946,313.945945946,246405.142467
485,31459.4594595,314.594594595,247424.397397
486,31524.3243243,315.243243243,248445.756053
487,31589.1891892,315.891891892,249469.218435
488,31654.0540541,316.540540541,250494.784541
489,31718.9189189,317.189189189,251522.454373
490,31783.7837838,317.837837838,252552.227931
491,31848.6486486,318.486486486,253584.105214
492,31913.5135135,319.135135135,254618.086222
493,31978.3783784,319.783783784,255654.170955
494,32043.2432432,320.432432432,256692.359414
495,32108.1081081,321.081081081,257732.651598
496,32172.972973,321.72972973,258775.047508
497,32237.8378378,322.378378378,259819.547142
498,32302.7027027,323.027027027,260866.150503
499,32367.5675676,323.675675676,261914.857588
500,32432.4324324,324.324324324,262965.668399
501,32497.2972973,324.972972973,264018.582935
502,32562.1621622,325.621621622,265073.601197
503,32627.027027,326.27027027,266130.723184
504,32691.8918919,326.918918919,267189.948896
505,32756.7567568,327.567567568,268251.278334
506,32821.6216216,328.216216216,269314.711497
507,32886.4864865,328.864864865,270380.248385
508,32951.3513514,329.513513514,271447.888999
509,33016.2162162,330.162162162,272517.633338
510,33081.0810811,330.810810811,273589.481402
511,33145.9459459,331.459459459,274663.433192
512,33210.8108108,332.108108108,275739.488707
513,33275.6756757,332.756756757,276817.647947
514,33340.5405405,333.405405405,277897.910913
515,33405.4054054,334.054054054,278980.277604
516,33470.2702703,334.702702703,280064.74802
517,33535.1351351,335.351351351,281151.322162
518,33600.0,336.0,282240.000029
519,33664.8648649,336.648648649,283330.781622
520,33729.7297297,337.297297297,284423.666939
521,33794.5945946,337.945945946,285518.655983
522,33859.4594595,338.594594595,286615.748751
523,33924.3243243,339.243243243,287714.945245
524,33989.1891892,339.891891892,288816.245464
525,34054.0540541,340.540540541,289919.649409
526,34118.9189189,341.189189189,291025.157079
527,34183.7837838,341.837837838,292132.768474
528,34248.6486486,342.486486486,293242.483594
529,34313.5135135,343.135135135,294354.30244
530,34378.3783784,343.783783784,295468.225012
531,34443.2432432,344.432432432,296584.251308
532,34508.1081081,345.081081081,297702.38133
533,34572.972973,345.72972973,298822.615078
534,34637.8378378,346.378378378,299944.95255
535,34702.7027027,347.027027027,301069.393748
536,34767.5675676,347.675675676,302195.938672
537,34832.4324324,348.324324324,303324.58732
538,34897.2972973,348.972972973,304455.339694
539,34962.1621622,349.621621622,305588.195794
540,35027.027027,350.27027027,306723.155619
541,35091.8918919,350.918918919,307860.219169
542,35156.7567568,351.567567568,308999.386444
543,35221.6216216,352.216216216,310140.657445
544,35286.4864865,352.864864865,311284.032171
545,35351.3513514,353.513513514,312429.510623
546,35416.2162162,354.162162162,313577.092799
547,35481.0810811,354.810810811,314726.778702
548,35545.9459459,355.459459459,315878.568329
549,35610.8108108,356.108108108,317032.461682
550,35675.6756757,356.756756757,318188.45876
551,35740.5405405,357.405405405,319346.559564
552,35805.4054054,358.054054054,320506.764093
553,35870.2702703,358.702702703,321669.072347
554,35935.1351351,359.351351351,322833.484327
555,36000.0,360.0,324000.000032
556,36064.8648649,360.648648649,325168.619462
557,36129.7297297,361.297297297,326339.342618
558,36194.5945946,361.945945946,327512.169499
559,36259.4594595,362.594594595,328687.100105
560,36324.3243243,363.243243243,329864.134437
561,36389.1891892,363.891891892,331043.272494
562,36454.0540541,364.540540541,332224.514276
563,36518.9189189,365.189189189,333407.859784
564,36583.7837838,365.837837838,334593.309017
565,36648.6486486,366.486486486,335780.861975
566,36713.5135135,367.135135135,336970.518659
567,36778.3783784,367.783783784,338162.279068
568,36843.2432432,368.432432432,339356.143203
569,36908.1081081,369.081081081,340552.111062
570,36972.972973,369.72972973,341750.182648
571,37037.8378378,370.378378378,342950.357958
572,37102.7027027,371.027027027,344152.636994
573,37167.5675676,371.675675676,345357.019755
574,37232.4324324,372.324324324,346563.506242
575,37297.2972973,372.972972973,347772.096454
576,37362.1621622,373.621621622,348982.790391
577,37427.027027,374.27027027,350195.588053
578,37491.8918919,374.918918919,351410.489441
579,37556.7567568,375.567567568,352627.494555
580,37621.6216216,376.216216216,353846.603393
581,37686.4864865,376.864864865,355067.815957
582,37751.3513514,377.513513514,356291.132247
583,37816.2162162,378.162162162,357516.552261
584,37881.0810811,378.810810811,358744.076001
585,37945.9459459,379.459459459,359973.703467
586,38010.8108108,380.108108108,361205.434657
587,38075.6756757,380.756756757,362439.269573
588,38140.5405405,381.405405405,363675.208215
589,38205.4054054,382.054054054,364913.250582
590,38270.2702703,382.702702703,366153.396674
591,38335.1351351,383.351351351,367395.646491
592,38400.0,384.0,368640.000034
593,38464.8648649,384.648648649,369886.457302
594,38529.7297297,385.297297297,371135.018296
595,38594.5945946,385.945945946,372385.683014
596,38659.4594595,386.594594595,373638.451459
597,38724.3243243,387.243243243,374893.323628
598,38789.1891892,387.891891892,376150.299523
599,38854.0540541,388.540540541,377409.379143
600,38918.9189189,389.189189189,378670.562489
601,38983.7837838,389.837837838,379933.84956
602,39048.6486486,390.486486486,381199.240356
603,39113.5135135,391.135135135,382466.734878
604,39178.3783784,391.783783784,383736.333125
605,39243.2432432,392.432432432,385008.035097
606,39308.1081081,393.081081081,386281.840794
607,39372.972973,393.72972973,387557.750217
608,39437.8378378,394.378378378,388835.763366
609,39502.7027027,395.027027027,390115.880239
610,39567.5675676,395.675675676,391398.100839
611,39632.4324324,396.324324324,392682.425163
612,39697.2972973,396.972972973,393968.853213
613,39762.1621622,397.621621622,395257.384988
614,39827.027027,398.27027027,396548.020488
615,39891.8918919,398.918918919,397840.759714
616,39956.7567568,399.567567568,399135.602665
617,40021.6216216,400.216216216,400432.549342
618,40086.4864865,400.864864865,401731.599743
619,40151.3513514,401.513513514,403032.75387
620,40216.2162162,402.162162162,404336.011723
621,40281.0810811,402.810810811,405641.373301
622,40345.9459459,403.459459459,406948.838604
623,40410.8108108,404.108108108,408258.407633
624,40475.6756757,404.756756757,409570.080386
625,40540.5405405,405.405405405,410883.856866
626,40605.4054054,406.054054054,412199.73707
627,40670.2702703,406.702702703,413517.721
628,40735.1351351,407.351351351,414837.808656
629,40800.0,408.0,416160.000036
630,40864.8648649,408.648648649,417484.295142
631,40929.7297297,409.297297297,418810.693973
632,40994.5945946,409.945945946,420139.19653
633,41059.4594595,410.594594595,421469.802812
634,41124.3243243,411.243243243,422802.51282
635,41189.1891892,411.891891892,424137.326552
636,41254.0540541,412.540540541,425474.24401
637,41318.9189189,413.189189189,426813.265194
638,41383.7837838,413.837837838,428154.390102
639,41448.6486486,414.486486486,429497.618737
640,41513.5135135,415.135135135,430842.951096
641,41578.3783784,415.783783784,432190.387181
642,41643.2432432,416.432432432,433539.926991
643,41708.1081081,417.081081081,434891.570526
644,41772.972973,417.72972973,436245.317787
645,41837.8378378,418.378378378,437601.168773
646,41902.7027027,419.027027027,438959.123485
647,41967.5675676,419.675675676,440319.181922
648,42032.4324324,420.324324324,441681.344084
649,42097.2972973,420.972972973,443045.609972
650,42162.1621622,421.621621622,444411.979585
651,42227.027027,422.27027027,445780.452923
652,42291.8918919,422.918918919,447151.029986
653,42356.7567568,423.567567568,448523.710775
654,42421.6216216,424.216216216,449898.49529
655,42486.4864865,424.864864865,451275.383529
656,42551.3513514,425.513513514,452654.375494
657,42616.2162162,426.162162162,454035.471185
658,42681.0810811,426.810810811,455418.6706
659,42745.9459459,427.459459459,456803.973741
660,42810.8108108,428.108108108,458191.380608
661,42875.6756757,428.756756757,459580.891199
662,42940.5405405,429.405405405,460972.505517
663,43005.4054054,430.054054054,462366.223559
664,43070.2702703,430.702702703,463762.045327
665,43135.1351351,431.351351351,465159.97082
666,43200.0,432.0,466560.000038
667,43264.8648649,432.648648649,467962.132982
668,43329.7297297,433.297297297,469366.369651
669,43394.5945946,433.945945946,470772.710046
670,43459.4594595,434.594594595,472181.154166
671,43524.3243243,435.243243243,473591.702011
672,43589.1891892,435.891891892,475004.353581
673,43654.0540541,436.540540541,476419.108877
674,43718.9189189,437.189189189,477835.967899
675,43783.7837838,437.837837838,479254.930645
676,43848.6486486,438.486486486,480675.997117
677,43913.5135135,439.135135135,482099.167314
678,43978.3783784,439.783783784,483524.441237
679,44043.2432432,440.432432432,484951.818885
680,44108.1081081,441.081081081,486381.300258
681,44172.972973,441.72972973,487812.885357
682,44237.8378378,442.378378378,489246.574181
683,44302.7027027,443.027027027,490682.36673
684,44367.5675676,443.675675676,492120.263005
685,44432.4324324,444.324324324,493560.263005
686,44497.2972973,444.972972973,495002.36673
687,44562.1621622,445.621621622,496446.574181
688,44627.027027,446.27027027,497892.885357
689,44691.8918919,446.918918919,499341.300259
690,44756.7567568,447.567567568,500791.818886
691,44821.6216216,448.216216216,502244.441238
692,44886.4864865,448.864864865,503699.167315
693,44951.3513514,449.513513514,505155.997118
694,45016.2162162,450.162162162,506614.930646
695,45081.0810811,450.810810811,508075.9679
696,45145.9459459,451.459459459,509539.108879
697,45210.8108108,452.108108108,511004.353583
698,45275.6756757,452.756756757,512471.702012
699,45340.5405405,453.405405405,513941.154167
700,45405.4054054,454.054054054,515412.710048
701,45470.2702703,454.702702703,516886.369653
702,45535.1351351,455.351351351,518362.132984
703,45600.0,456.0,519840.00004
704,45664.8648649,456.648648649,521319.970822
705,45729.7297297,457.297297297,522802.045329
706,45794.5945946,457.945945946,524286.223561
707,45859.4594595,458.594594595,525772.505519
708,45924.3243243,459.243243243,527260.891202
709,45989.1891892,459.891891892,528751.38061
710,46054.0540541,460.540540541,530243.973744
711,46118.9189189,461.189189189,531738.670603
712,46183.7837838,461.837837838,533235.471188
713,46248.6486486,462.486486486,534734.375497
714,46313.5135135,463.135135135,536235.383533
715,46378.3783784,463.783783784,537738.495293
